	src	rank	dest
0	"""4017244"""	0.20698406404049768	"""EGFR_family"""
1	"""31235"""	0.12372651301506254	"""CD286	_TLR6"""
2	"""92263"""	0.05438919139628617	"""IL17_receptor_family"""
3	"""361839"""	0.17858051306319672	"""Intestinal_immune_network_for_IgA_production"""
4	"""228207"""	0.15137628346444287	"""IL17_receptor_family"""
5	"""922397"""	0.13042645416697365	"""ALK_family"""
6	"""810955"""	0.17158830437830472	"""CD288	_TLR8"""
7	"""137183"""	0.17965194817569727	"""AKT/PKB_family"""
8	"""949789"""	0.11781660485631636	"""EGFR_family"""
9	"""4301566"""	0.06299419494186118	"""Intestinal_immune_network_for_IgA_production"""
10	"""439036"""	0.14228099597497418	"""CD281	_TLR1"""
11	"""580411"""	0.23828719456958025	"""CD121b	_IL1R2"""
12	"""1047041"""	0.1999074514468068	"""Bacterial_toxins"""
13	"""605681"""	0.13977980994942346	"""Intestinal_immune_network_for_IgA_production"""
14	"""895220"""	0.15780307568354293	"""MAPKAPK_family"""
15	"""585221"""	0.3927233718794907	"""Bacteria"""
16	"""420127"""	0.04794638934318135	"""IL1_receptor_family"""
17	"""875704"""	0.2202634862209522	"""Bacteria"""
18	"""865469"""	0.09825334849794352	"""CD273	_PDCD1LG2"""
19	"""827773"""	0.0006400337950930997	"""CD282	_TLR2"""
20	"""585419"""	0.07997330633203581	"""CD121b	_IL1R2"""
21	"""92512"""	0.13657013955576153	"""Pathogenic_Escherichia_coli_infection"""
22	"""1081231"""	0.10080387983140074	"""Bacterial_toxins"""
23	"""664697"""	0.2879634733030419	"""CD121b	_IL1R2"""
24	"""19930"""	0.09427350431967507	"""CD281	_TLR1"""
25	"""716473"""	0.10850622261315317	"""NOD-like_receptors"""
26	"""2534"""	0.10768248277101904	"""Pathogenic_Escherichia_coli_infection"""
27	"""1060029"""	0.2618984713262481	"""CD121b	_IL1R2"""
28	"""579924"""	0.06070459885442391	"""EGFR_family"""
29	"""590601"""	0.23665245511482014	"""CD286	_TLR6"""
30	"""759916"""	0.09990059006620564	"""CD288	_TLR8"""
31	"""699027"""	0.19875624979287732	"""Bacterial_toxins"""
32	"""705241"""	0.039533524624318785	"""Toll-like_receptor_signaling_pathway"""
33	"""461206"""	8.599317185791416e-05	"""CD121a	_IL1R1"""
34	"""82171"""	0.0866331134975177	"""Bacteria"""
35	"""2554"""	0.10167757769530852	"""Bacterial_toxins"""
36	"""790545"""	0.18904011102397186	"""RET_family"""
37	"""557665"""	0.14723772273654442	"""NOD-like_receptors"""
38	"""1111294"""	0.14102217304828807	"""EGFR_family"""
39	"""795504"""	0.2988735112171069	"""Bacteria"""
40	"""771804"""	0.2251267112473613	"""Toll-like_receptors"""
41	"""304640"""	0.07556450671297897	"""IL17_receptor_family"""
42	"""4440670"""	0.16756277389802252	"""EGFR_tyrosine_kinase_inhibitor_resistance"""
43	"""851938"""	0.18277209045649465	"""CD121a	_IL1R1"""
44	"""1011712"""	0.1894301866052211	"""CD121b	_IL1R2"""
45	"""32546"""	0.09983508526382297	"""C_Peroxisome_proliferator-activated_receptor_(PPAR)"""
46	"""580625"""	0.18777958931367136	"""CD284	_TLR4"""
47	"""300432"""	0.15460859762561813	"""IL17_receptor_family"""
48	"""1060565"""	0.1790529282348602	"""Bacterial_toxins"""
49	"""1010721"""	0.006130416906342221	"""CD286	_TLR6"""
50	"""4297838"""	0.1902748483152517	"""CD284	_TLR4"""
51	"""510422"""	0.07371055788482174	"""CD281	_TLR1"""
52	"""1927234"""	0.1804723533308034	"""mTOR_signaling_pathway"""
53	"""4338511"""	0.00029378124474307564	"""ALK_family"""
54	"""441265"""	0.13747000319527106	"""ALK_family"""
55	"""1101451"""	0.10513625770724797	"""CD281	_TLR1"""
56	"""984831"""	0.279462581199288	"""CD284	_TLR4"""
57	"""1017181"""	0.05289937868774318	"""EGFR_family"""
58	"""591699"""	0.29743268775553605	"""Intestinal_immune_network_for_IgA_production"""
59	"""769222"""	0.1599159318377676	"""Bacterial_toxins"""
60	"""415661"""	0.14213947759023046	"""Bacterial_toxins"""
61	"""607386"""	0.0005084576818356578	"""NF-kappa_B_signaling_pathway"""
62	"""749837"""	0.15958611414579915	"""IL17_receptor_family"""
63	"""35291"""	0.2357703747337204	"""CD286	_TLR6"""
64	"""334554"""	0.10934183973019417	"""NOD-like_receptors"""
65	"""1004910"""	0.08612565663869289	"""CD286	_TLR6"""
66	"""4315533"""	0.20126233326529847	"""EGFR_family"""
67	"""1646259"""	0.07047916440636545	"""CD286	_TLR6"""
68	"""564411"""	0.08357671501662084	"""CD281	_TLR1"""
69	"""891635"""	0.18182838743532204	"""CD281	_TLR1"""
70	"""583388"""	0.2473888819590808	"""CD286	_TLR6"""
71	"""1104733"""	0.07857619426156216	"""IL17_receptor_family"""
72	"""610107"""	0.2896784039917561	"""CD273	_PDCD1LG2"""
73	"""851704"""	0.11722102135731173	"""CD288	_TLR8"""
74	"""1080820"""	0.3658387875404206	"""CD121b	_IL1R2"""
75	"""103229"""	0.11075930228708858	"""CD121b	_IL1R2"""
76	"""942852"""	0.2130560119954782	"""CD366	_HAVCR2"""
77	"""4383820"""	0.4090399230601222	"""CD284	_TLR4"""
78	"""71649"""	0.09711982801151413	"""CD286	_TLR6"""
79	"""122517"""	0.21379710424202653	"""Intestinal_immune_network_for_IgA_production"""
80	"""1141758"""	9.110059042729628e-06	"""IL1_receptor_family"""
81	"""1081815"""	0.11329733800983008	"""EGFR_family"""
82	"""988314"""	0.08099445127665189	"""p53_signaling_pathway"""
83	"""2708478"""	0.11763273139484505	"""CD366	_HAVCR2"""
84	"""278795"""	0.2684832950043935	"""CD286	_TLR6"""
85	"""342427"""	0.04578639583922695	"""CD121b	_IL1R2"""
86	"""356574"""	0.11984201352095494	"""CD281	_TLR1"""
87	"""862115"""	0.04031046244916395	"""CD288	_TLR8"""
88	"""4298633"""	0.040914197264179324	"""ALK_family"""
89	"""4307652"""	0.02524745758295707	"""MET_family"""
